emojiname,emojicode
"person_in_manual_wheelchair","\\ud83e\\uddd1\\u200D\\ud83e\\uddbd"
"man_in_manual_wheelchair","\\ud83d\\udc68\\u200D\\ud83e\\uddbd"
"woman_in_manual_wheelchair","\\ud83d\\udc69\\u200D\\ud83e\\uddbd"
"person_running","\\ud83c\\udfc3"
"man_running","\\ud83c\\udfc3\\u200D\\u2642\\uFE0F"
"woman_running","\\ud83c\\udfc3\\u200D\\u2640\\uFE0F"
"woman_dancing","\\ud83d\\udc83"
"man_dancing","\\ud83d\\udd7a"
"person_in_suit_levitating","\\ud83d\\udd74"
"people_with_bunny_ears","\\ud83d\\udc6f"
"men_with_bunny_ears","\\ud83d\\udc6f\\u200D\\u2642\\uFE0F"
"women_with_bunny_ears","\\ud83d\\udc6f\\u200D\\u2640\\uFE0F"
"person_in_steamy_room","\\ud83e\\uddd6"
"man_in_steamy_room","\\ud83e\\uddd6\\u200D\\u2642\\uFE0F"
"woman_in_steamy_room","\\ud83e\\uddd6\\u200D\\u2640\\uFE0F"
"person_climbing","\\ud83e\\uddd7"
"man_climbing","\\ud83e\\uddd7\\u200D\\u2642\\uFE0F"
"woman_climbing","\\ud83e\\uddd7\\u200D\\u2640\\uFE0F"
"person_fencing","\\ud83e\\udd3a"
"horse_racing","\\ud83c\\udfc7"
"skier","\\u26F7"
"snowboarder","\\ud83c\\udfc2"
"person_golfing","\\ud83c\\udfcc"
"man_golfing","\\ud83c\\udfcc\\uFE0F\\u200D\\u2642\\uFE0F"
"woman_golfing","\\ud83c\\udfcc\\uFE0F\\u200D\\u2640\\uFE0F"
"person_surfing","\\ud83c\\udfc4"
"man_surfing","\\ud83c\\udfc4\\u200D\\u2642\\uFE0F"
"woman_surfing","\\ud83c\\udfc4\\u200D\\u2640\\uFE0F"
"person_rowing_boat","\\ud83d\\udea3"
"man_rowing_boat","\\ud83d\\udea3\\u200D\\u2642\\uFE0F"
"woman_rowing_boat","\\ud83d\\udea3\\u200D\\u2640\\uFE0F"
"person_swimming","\\ud83c\\udfca"
"man_swimming","\\ud83c\\udfca\\u200D\\u2642\\uFE0F"
"woman_swimming","\\ud83c\\udfca\\u200D\\u2640\\uFE0F"
"person_bouncing_ball","\\u26F9"
"man_bouncing_ball","\\u26F9\\uFE0F\\u200D\\u2642\\uFE0F"
"woman_bouncing_ball","\\u26F9\\uFE0F\\u200D\\u2640\\uFE0F"
"person_lifting_weights","\\ud83c\\udfcb"
"man_lifting_weights","\\ud83c\\udfcb\\uFE0F\\u200D\\u2642\\uFE0F"
"woman_lifting_weights","\\ud83c\\udfcb\\uFE0F\\u200D\\u2640\\uFE0F"
"person_biking","\\ud83d\\udeb4"
"man_biking","\\ud83d\\udeb4\\u200D\\u2642\\uFE0F"
"woman_biking","\\ud83d\\udeb4\\u200D\\u2640\\uFE0F"
"person_mountain_biking","\\ud83d\\udeb5"
"man_mountain_biking","\\ud83d\\udeb5\\u200D\\u2642\\uFE0F"
"woman_mountain_biking","\\ud83d\\udeb5\\u200D\\u2640\\uFE0F"
"person_cartwheeling","\\ud83e\\udd38"
"man_cartwheeling","\\ud83e\\udd38\\u200D\\u2642\\uFE0F"
"woman_cartwheeling","\\ud83e\\udd38\\u200D\\u2640\\uFE0F"
"people_wrestling","\\ud83e\\udd3c"
"men_wrestling","\\ud83e\\udd3c\\u200D\\u2642\\uFE0F"
"women_wrestling","\\ud83e\\udd3c\\u200D\\u2640\\uFE0F"
"person_playing_water_polo","\\ud83e\\udd3d"
"man_playing_water_polo","\\ud83e\\udd3d\\u200D\\u2642\\uFE0F"
"woman_playing_water_polo","\\ud83e\\udd3d\\u200D\\u2640\\uFE0F"
"person_playing_handball","\\ud83e\\udd3e"
"man_playing_handball","\\ud83e\\udd3e\\u200D\\u2642\\uFE0F"
"woman_playing_handball","\\ud83e\\udd3e\\u200D\\u2640\\uFE0F"
"person_juggling","\\ud83e\\udd39"
"man_juggling","\\ud83e\\udd39\\u200D\\u2642\\uFE0F"
"woman_juggling","\\ud83e\\udd39\\u200D\\u2640\\uFE0F"
"person_in_lotus_position","\\ud83e\\uddd8"
"man_in_lotus_position","\\ud83e\\uddd8\\u200D\\u2642\\uFE0F"
"woman_in_lotus_position","\\ud83e\\uddd8\\u200D\\u2640\\uFE0F"
"person_taking_bath","\\ud83d\\udec0"
"person_in_bed","\\ud83d\\udecc"
"people_holding_hands","\\ud83e\\uddd1\\u200D\\ud83e\\udd1d\\u200D\\ud83e\\uddd1"
"women_holding_hands","\\ud83d\\udc6d"
"woman_and_man_holding_hands","\\ud83d\\udc6b"
"men_holding_hands","\\ud83d\\udc6c"
"kiss","\\ud83d\\udc8f"
"kiss_woman_man","\\ud83d\\udc69\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc8b\\u200D\\ud83d\\udc68"
"kiss_man_man","\\ud83d\\udc68\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc8b\\u200D\\ud83d\\udc68"
"kiss_woman_woman","\\ud83d\\udc69\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc8b\\u200D\\ud83d\\udc69"
"couple_with_heart","\\ud83d\\udc91"
"couple_with_heart_woman_man","\\ud83d\\udc69\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc68"
"couple_with_heart_man_man","\\ud83d\\udc68\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc68"
"couple_with_heart_woman_woman","\\ud83d\\udc69\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc69"
"family","\\ud83d\\udc6a"
"family_man_woman_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc66"
"family_man_woman_girl","\\ud83d\\udc68\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc67"
"family_man_woman_girl_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc66"
"family_man_woman_boy_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc66\\u200D\\ud83d\\udc66"
"family_man_woman_girl_girl","\\ud83d\\udc68\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc67"
"family_man_man_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc68\\u200D\\ud83d\\udc66"
"family_man_man_girl","\\ud83d\\udc68\\u200D\\ud83d\\udc68\\u200D\\ud83d\\udc67"
"family_man_man_girl_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc68\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc66"
"family_man_man_boy_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc68\\u200D\\ud83d\\udc66\\u200D\\ud83d\\udc66"
"family_man_man_girl_girl","\\ud83d\\udc68\\u200D\\ud83d\\udc68\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc67"
"family_woman_woman_boy","\\ud83d\\udc69\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc66"
"family_woman_woman_girl","\\ud83d\\udc69\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc67"
"family_woman_woman_girl_boy","\\ud83d\\udc69\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc66"
"family_woman_woman_boy_boy","\\ud83d\\udc69\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc66\\u200D\\ud83d\\udc66"
"family_woman_woman_girl_girl","\\ud83d\\udc69\\u200D\\ud83d\\udc69\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc67"
"family_man_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc66"
"family_man_boy_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc66\\u200D\\ud83d\\udc66"
"family_man_girl","\\ud83d\\udc68\\u200D\\ud83d\\udc67"
"family_man_girl_boy","\\ud83d\\udc68\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc66"
"family_man_girl_girl","\\ud83d\\udc68\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc67"
"family_woman_boy","\\ud83d\\udc69\\u200D\\ud83d\\udc66"
"family_woman_boy_boy","\\ud83d\\udc69\\u200D\\ud83d\\udc66\\u200D\\ud83d\\udc66"
"family_woman_girl","\\ud83d\\udc69\\u200D\\ud83d\\udc67"
"family_woman_girl_boy","\\ud83d\\udc69\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc66"
"family_woman_girl_girl","\\ud83d\\udc69\\u200D\\ud83d\\udc67\\u200D\\ud83d\\udc67"
"speaking_head","\\ud83d\\udde3"
"bust_in_silhouette","\\ud83d\\udc64"
"busts_in_silhouette","\\ud83d\\udc65"
"people_hugging","\\ud83e\\udec2"
"footprints","\\ud83d\\udc63"
"red_hair","\\ud83e\\uddb0"
"curly_hair","\\ud83e\\uddb1"
"white_hair","\\ud83e\\uddb3"
"bald","\\ud83e\\uddb2"
"monkey_face","\\ud83d\\udc35"
"monkey","\\ud83d\\udc12"
"gorilla","\\ud83e\\udd8d"
"orangutan","\\ud83e\\udda7"
"dog_face","\\ud83d\\udc36"
"dog","\\ud83d\\udc15"
"guide_dog","\\ud83e\\uddae"
"service_dog","\\ud83d\\udc15\\u200D\\ud83e\\uddba"
"poodle","\\ud83d\\udc29"
"wolf","\\ud83d\\udc3a"
"fox","\\ud83e\\udd8a"
"raccoon","\\ud83e\\udd9d"
"cat_face","\\ud83d\\udc31"
"cat","\\ud83d\\udc08"
"black_cat","\\ud83d\\udc08\\u200D\\u2B1B"
"lion","\\ud83e\\udd81"
"tiger_face","\\ud83d\\udc2f"
"tiger","\\ud83d\\udc05"
"leopard","\\ud83d\\udc06"
"horse_face","\\ud83d\\udc34"
"horse","\\ud83d\\udc0e"
"unicorn","\\ud83e\\udd84"
"zebra","\\ud83e\\udd93"
"deer","\\ud83e\\udd8c"
"bison","\\ud83e\\uddac"
"cow_face","\\ud83d\\udc2e"
"ox","\\ud83d\\udc02"
"water_buffalo","\\ud83d\\udc03"
"cow","\\ud83d\\udc04"
"pig_face","\\ud83d\\udc37"
"pig","\\ud83d\\udc16"
"boar","\\ud83d\\udc17"
"pig_nose","\\ud83d\\udc3d"
"ram","\\ud83d\\udc0f"
"ewe","\\ud83d\\udc11"
"goat","\\ud83d\\udc10"
"camel","\\ud83d\\udc2a"
"twohump_camel","\\ud83d\\udc2b"
"llama","\\ud83e\\udd99"
"giraffe","\\ud83e\\udd92"
"elephant","\\ud83d\\udc18"
"mammoth","\\ud83e\\udda3"
"rhinoceros","\\ud83e\\udd8f"
"hippopotamus","\\ud83e\\udd9b"
"mouse_face","\\ud83d\\udc2d"
"mouse","\\ud83d\\udc01"
"rat","\\ud83d\\udc00"
"hamster","\\ud83d\\udc39"
"rabbit_face","\\ud83d\\udc30"
"rabbit","\\ud83d\\udc07"
"chipmunk","\\ud83d\\udc3f"
"beaver","\\ud83e\\uddab"
"hedgehog","\\ud83e\\udd94"
"bat","\\ud83e\\udd87"
"bear","\\ud83d\\udc3b"
"polar_bear","\\ud83d\\udc3b\\u200D\\u2744\\uFE0F"
"koala","\\ud83d\\udc28"
"panda","\\ud83d\\udc3c"
"sloth","\\ud83e\\udda5"
"otter","\\ud83e\\udda6"
"skunk","\\ud83e\\udda8"
"kangaroo","\\ud83e\\udd98"
"badger","\\ud83e\\udda1"
"paw_prints","\\ud83d\\udc3e"
"turkey","\\ud83e\\udd83"
"chicken","\\ud83d\\udc14"
"rooster","\\ud83d\\udc13"
"hatching_chick","\\ud83d\\udc23"
"baby_chick","\\ud83d\\udc24"
"frontfacing_baby_chick","\\ud83d\\udc25"
"bird","\\ud83d\\udc26"
"penguin","\\ud83d\\udc27"
"dove","\\ud83d\\udd4a"
"eagle","\\ud83e\\udd85"
"duck","\\ud83e\\udd86"
"swan","\\ud83e\\udda2"
"owl","\\ud83e\\udd89"
"dodo","\\ud83e\\udda4"
"feather","\\ud83e\\udeb6"
"flamingo","\\ud83e\\udda9"
"peacock","\\ud83e\\udd9a"
"parrot","\\ud83e\\udd9c"
"frog","\\ud83d\\udc38"
"crocodile","\\ud83d\\udc0a"
"turtle","\\ud83d\\udc22"
"lizard","\\ud83e\\udd8e"
"snake","\\ud83d\\udc0d"
"dragon_face","\\ud83d\\udc32"
"dragon","\\ud83d\\udc09"
"sauropod","\\ud83e\\udd95"
"trex","\\ud83e\\udd96"
"spouting_whale","\\ud83d\\udc33"
"whale","\\ud83d\\udc0b"
"dolphin","\\ud83d\\udc2c"
"seal","\\ud83e\\uddad"
"fish","\\ud83d\\udc1f"
"tropical_fish","\\ud83d\\udc20"
"blowfish","\\ud83d\\udc21"
"shark","\\ud83e\\udd88"
"octopus","\\ud83d\\udc19"
"spiral_shell","\\ud83d\\udc1a"
"⊛_coral","\\ud83e\\udeb8"
"snail","\\ud83d\\udc0c"
"butterfly","\\ud83e\\udd8b"
"bug","\\ud83d\\udc1b"
"ant","\\ud83d\\udc1c"
"honeybee","\\ud83d\\udc1d"
"beetle","\\ud83e\\udeb2"
"lady_beetle","\\ud83d\\udc1e"
"cricket","\\ud83e\\udd97"
"cockroach","\\ud83e\\udeb3"
"spider","\\ud83d\\udd77"
"spider_web","\\ud83d\\udd78"
"scorpion","\\ud83e\\udd82"
"mosquito","\\ud83e\\udd9f"
"fly","\\ud83e\\udeb0"
"worm","\\ud83e\\udeb1"
"microbe","\\ud83e\\udda0"
"bouquet","\\ud83d\\udc90"
"cherry_blossom","\\ud83c\\udf38"
"white_flower","\\ud83d\\udcae"
"⊛_lotus","\\ud83e\\udeb7"
"rosette","\\ud83c\\udff5"
"rose","\\ud83c\\udf39"
"wilted_flower","\\ud83e\\udd40"
"hibiscus","\\ud83c\\udf3a"
"sunflower","\\ud83c\\udf3b"
"blossom","\\ud83c\\udf3c"
"tulip","\\ud83c\\udf37"
"seedling","\\ud83c\\udf31"
"potted_plant","\\ud83e\\udeb4"
"evergreen_tree","\\ud83c\\udf32"
"deciduous_tree","\\ud83c\\udf33"
"palm_tree","\\ud83c\\udf34"
"cactus","\\ud83c\\udf35"
"sheaf_of_rice","\\ud83c\\udf3e"
"herb","\\ud83c\\udf3f"
"shamrock","\\u2618"
"four_leaf_clover","\\ud83c\\udf40"
"maple_leaf","\\ud83c\\udf41"
"fallen_leaf","\\ud83c\\udf42"
"leaf_fluttering_in_wind","\\ud83c\\udf43"
"⊛_empty_nest","\\ud83e\\udeb9"
"⊛_nest_with_eggs","\\ud83e\\udeba"
"grapes","\\ud83c\\udf47"
"melon","\\ud83c\\udf48"
"watermelon","\\ud83c\\udf49"
"tangerine","\\ud83c\\udf4a"
"lemon","\\ud83c\\udf4b"
"banana","\\ud83c\\udf4c"
"pineapple","\\ud83c\\udf4d"
"mango","\\ud83e\\udd6d"
"red_apple","\\ud83c\\udf4e"
"green_apple","\\ud83c\\udf4f"
"pear","\\ud83c\\udf50"
"peach","\\ud83c\\udf51"
"cherries","\\ud83c\\udf52"
"strawberry","\\ud83c\\udf53"
"blueberries","\\ud83e\\uded0"
"kiwi_fruit","\\ud83e\\udd5d"
"tomato","\\ud83c\\udf45"
"olive","\\ud83e\\uded2"
"coconut","\\ud83e\\udd65"
"avocado","\\ud83e\\udd51"
"eggplant","\\ud83c\\udf46"
"potato","\\ud83e\\udd54"
"carrot","\\ud83e\\udd55"
"ear_of_corn","\\ud83c\\udf3d"
"hot_pepper","\\ud83c\\udf36"
"bell_pepper","\\ud83e\\uded1"
"cucumber","\\ud83e\\udd52"
"leafy_green","\\ud83e\\udd6c"
"broccoli","\\ud83e\\udd66"
"garlic","\\ud83e\\uddc4"
"onion","\\ud83e\\uddc5"
"mushroom","\\ud83c\\udf44"
"peanuts","\\ud83e\\udd5c"
"⊛_beans","\\ud83e\\uded8"
"chestnut","\\ud83c\\udf30"
"bread","\\ud83c\\udf5e"
"croissant","\\ud83e\\udd50"
"baguette_bread","\\ud83e\\udd56"
"flatbread","\\ud83e\\uded3"
"pretzel","\\ud83e\\udd68"
"bagel","\\ud83e\\udd6f"
"pancakes","\\ud83e\\udd5e"
"waffle","\\ud83e\\uddc7"
"cheese_wedge","\\ud83e\\uddc0"
"meat_on_bone","\\ud83c\\udf56"
"poultry_leg","\\ud83c\\udf57"
"cut_of_meat","\\ud83e\\udd69"
"bacon","\\ud83e\\udd53"
"hamburger","\\ud83c\\udf54"
"french_fries","\\ud83c\\udf5f"
"pizza","\\ud83c\\udf55"
"hot_dog","\\ud83c\\udf2d"
"sandwich","\\ud83e\\udd6a"
"taco","\\ud83c\\udf2e"
"burrito","\\ud83c\\udf2f"
"tamale","\\ud83e\\uded4"
"stuffed_flatbread","\\ud83e\\udd59"
"falafel","\\ud83e\\uddc6"
"egg","\\ud83e\\udd5a"
"cooking","\\ud83c\\udf73"
"shallow_pan_of_food","\\ud83e\\udd58"
"pot_of_food","\\ud83c\\udf72"
"fondue","\\ud83e\\uded5"
"bowl_with_spoon","\\ud83e\\udd63"
"green_salad","\\ud83e\\udd57"
"popcorn","\\ud83c\\udf7f"
"butter","\\ud83e\\uddc8"
"salt","\\ud83e\\uddc2"
"canned_food","\\ud83e\\udd6b"
"bento_box","\\ud83c\\udf71"
"rice_cracker","\\ud83c\\udf58"
"rice_ball","\\ud83c\\udf59"
"cooked_rice","\\ud83c\\udf5a"
"curry_rice","\\ud83c\\udf5b"
"steaming_bowl","\\ud83c\\udf5c"
"spaghetti","\\ud83c\\udf5d"
"roasted_sweet_potato","\\ud83c\\udf60"
"oden","\\ud83c\\udf62"
"sushi","\\ud83c\\udf63"
"fried_shrimp","\\ud83c\\udf64"
"fish_cake_with_swirl","\\ud83c\\udf65"
"moon_cake","\\ud83e\\udd6e"
"dango","\\ud83c\\udf61"
"dumpling","\\ud83e\\udd5f"
"fortune_cookie","\\ud83e\\udd60"
"takeout_box","\\ud83e\\udd61"
"crab","\\ud83e\\udd80"
"lobster","\\ud83e\\udd9e"
"shrimp","\\ud83e\\udd90"
"squid","\\ud83e\\udd91"
"oyster","\\ud83e\\uddaa"
"soft_ice_cream","\\ud83c\\udf66"
"shaved_ice","\\ud83c\\udf67"
"ice_cream","\\ud83c\\udf68"
"doughnut","\\ud83c\\udf69"
"cookie","\\ud83c\\udf6a"
"birthday_cake","\\ud83c\\udf82"
"shortcake","\\ud83c\\udf70"
"cupcake","\\ud83e\\uddc1"
"pie","\\ud83e\\udd67"
"chocolate_bar","\\ud83c\\udf6b"
"candy","\\ud83c\\udf6c"
"lollipop","\\ud83c\\udf6d"
"custard","\\ud83c\\udf6e"
"honey_pot","\\ud83c\\udf6f"
"baby_bottle","\\ud83c\\udf7c"
"glass_of_milk","\\ud83e\\udd5b"
"hot_beverage","\\u2615"
"teapot","\\ud83e\\uded6"
"teacup_without_handle","\\ud83c\\udf75"
"sake","\\ud83c\\udf76"
"bottle_with_popping_cork","\\ud83c\\udf7e"
"wine_glass","\\ud83c\\udf77"
"cocktail_glass","\\ud83c\\udf78"
"tropical_drink","\\ud83c\\udf79"
"beer_mug","\\ud83c\\udf7a"
"clinking_beer_mugs","\\ud83c\\udf7b"
"clinking_glasses","\\ud83e\\udd42"
"tumbler_glass","\\ud83e\\udd43"
"⊛_pouring_liquid","\\ud83e\\uded7"
"cup_with_straw","\\ud83e\\udd64"
"bubble_tea","\\ud83e\\uddcb"
"beverage_box","\\ud83e\\uddc3"
"mate","\\ud83e\\uddc9"
"ice","\\ud83e\\uddca"
"chopsticks","\\ud83e\\udd62"
"fork_and_knife_with_plate","\\ud83c\\udf7d"
"fork_and_knife","\\ud83c\\udf74"
"spoon","\\ud83e\\udd44"
"kitchen_knife","\\ud83d\\udd2a"
"⊛_jar","\\ud83e\\uded9"
"amphora","\\ud83c\\udffa"
"globe_showing_europeafrica","\\ud83c\\udf0d"
"globe_showing_americas","\\ud83c\\udf0e"
"globe_showing_asiaaustralia","\\ud83c\\udf0f"
"globe_with_meridians","\\ud83c\\udf10"
"world_map","\\ud83d\\uddfa"
"map_of_japan","\\ud83d\\uddfe"
"compass","\\ud83e\\udded"
"snowcapped_mountain","\\ud83c\\udfd4"
"mountain","\\u26F0"
"volcano","\\ud83c\\udf0b"
"mount_fuji","\\ud83d\\uddfb"
"camping","\\ud83c\\udfd5"
"beach_with_umbrella","\\ud83c\\udfd6"
"desert","\\ud83c\\udfdc"
"desert_island","\\ud83c\\udfdd"
"national_park","\\ud83c\\udfde"
"stadium","\\ud83c\\udfdf"
"classical_building","\\ud83c\\udfdb"
"building_construction","\\ud83c\\udfd7"
"brick","\\ud83e\\uddf1"
"rock","\\ud83e\\udea8"
"wood","\\ud83e\\udeb5"
"hut","\\ud83d\\uded6"
"houses","\\ud83c\\udfd8"
"derelict_house","\\ud83c\\udfda"
"house","\\ud83c\\udfe0"
"house_with_garden","\\ud83c\\udfe1"
"office_building","\\ud83c\\udfe2"
"japanese_post_office","\\ud83c\\udfe3"
"post_office","\\ud83c\\udfe4"
"hospital","\\ud83c\\udfe5"
"bank","\\ud83c\\udfe6"
"hotel","\\ud83c\\udfe8"
"love_hotel","\\ud83c\\udfe9"
"convenience_store","\\ud83c\\udfea"
"school","\\ud83c\\udfeb"
"department_store","\\ud83c\\udfec"
"factory","\\ud83c\\udfed"
"japanese_castle","\\ud83c\\udfef"
"castle","\\ud83c\\udff0"
"wedding","\\ud83d\\udc92"
"tokyo_tower","\\ud83d\\uddfc"
"statue_of_liberty","\\ud83d\\uddfd"
"church","\\u26EA"
"mosque","\\ud83d\\udd4c"
"hindu_temple","\\ud83d\\uded5"
"synagogue","\\ud83d\\udd4d"
"shinto_shrine","\\u26E9"
"kaaba","\\ud83d\\udd4b"
"fountain","\\u26F2"
"tent","\\u26FA"
"foggy","\\ud83c\\udf01"
"night_with_stars","\\ud83c\\udf03"
"cityscape","\\ud83c\\udfd9"
"sunrise_over_mountains","\\ud83c\\udf04"
"sunrise","\\ud83c\\udf05"
"cityscape_at_dusk","\\ud83c\\udf06"
"sunset","\\ud83c\\udf07"
"bridge_at_night","\\ud83c\\udf09"
"hot_springs","\\u2668"
"carousel_horse","\\ud83c\\udfa0"
"⊛_playground_slide","\\ud83d\\udedd"
"ferris_wheel","\\ud83c\\udfa1"
"roller_coaster","\\ud83c\\udfa2"
"barber_pole","\\ud83d\\udc88"
"circus_tent","\\ud83c\\udfaa"
"locomotive","\\ud83d\\ude82"
"railway_car","\\ud83d\\ude83"
"highspeed_train","\\ud83d\\ude84"
"bullet_train","\\ud83d\\ude85"
"train","\\ud83d\\ude86"
"metro","\\ud83d\\ude87"
"light_rail","\\ud83d\\ude88"
"station","\\ud83d\\ude89"
"tram","\\ud83d\\ude8a"
"monorail","\\ud83d\\ude9d"
"mountain_railway","\\ud83d\\ude9e"
"tram_car","\\ud83d\\ude8b"
"bus","\\ud83d\\ude8c"
"oncoming_bus","\\ud83d\\ude8d"
"trolleybus","\\ud83d\\ude8e"
"minibus","\\ud83d\\ude90"
"ambulance","\\ud83d\\ude91"
"fire_engine","\\ud83d\\ude92"
"police_car","\\ud83d\\ude93"
"oncoming_police_car","\\ud83d\\ude94"
"taxi","\\ud83d\\ude95"
"oncoming_taxi","\\ud83d\\ude96"
"automobile","\\ud83d\\ude97"
"oncoming_automobile","\\ud83d\\ude98"
